,aktienfonds bezeichnet einsatz derivaten genauso steigende kurse setzen long-position fallende kurse spekulieren short-position grenze long-position entspricht investitionsgrad short-position woraus bezeichnung
risikofreier zinssatz,risikofreie zinssatz risikolose zinssatz zinssatz markt geldanlage schuldner gezahlt allgemeiner ansicht risiko besteht kreditzinsen rückzahlung pünktlich geleistet (= ausfallrisiko besteht
risikoneutralität,begriff risikoneutralität bezeichnet entscheidungstheorie eigenschaft marktteilnehmers z b
versicherungspool,poolvertrag schließen mindestens rechtlich selbständig bleibende vertragsparteien erreichung gemeinsamen ziels bestimmten zeitraum vertrag
risiko-ertrags-verhältnis,risiko-ertrags-verhältnis begriff portfoliotheorie beschreibt zielkonflikt kapitalmarktteilnehmer steht kapital portfolio investiert zielkonflikt besteht investor risiko bereit investition einzugehen ertrag erwartet
robo-advisor,robo-advisor bezeichnung untergruppe unternehmen wirtschaftszweig finanztechnologie bezeichnung kofferwort zusammengesetzt englischen wörtern robot roboter advisor berater
72er-regel,72er-regel faustformel zinsrechnung regel näherungsweise verzinsliche kapitalanlage nennwert verdoppelt effekt zinseszins
six interbank clearing,six interbank clearing november swiss interbank clearing sitz zürich tochterunternehmen six group six interbank clearing betreibt auftrag schweizerischen nationalbank zahlungsverkehrsplattform
sandton,sandton stadt norden metropolgemeinde city of johannesburg südafrikanischen provinz gauteng sandton einwohner
sanhattan,sanhattan kunstwort santiago manhattan inoffizielle name bankenviertels santiago de chile liegt osten stadt erhielt namen aufgrund hohen dichte moderner bürogebäude
search fund,search-fund-konzept existiert knapp ursprünglich us-amerikanischen universitäten harvard stanford entwickelt ziel ansatzes häufig vergleichsweise jungen unternehmern hilfe privaten investoren übernahme geschäftsführung
secretaría de hacienda crédito público,secretaría de hacienda crédito público shcp politische sekretariat regierung finanz- öffentliches kreditwesen mexiko vergleichbar finanzministerium shcp untergliedert untersekretariate finanz- öffentliches
verbriefung,verbriefung allgemein zusicherung rechts schriftstück finanzwesen speziell verbriefung englisch securitization ausstellung handelbaren wertpapieren buchforderungen eigentums­rechten verstanden
charakteristische linie,charakteristische linie regressionsgerade vergangenheitswerten rendite aktie rendite marktportfolios capital asset pricing model abgeleitet steigung charakteristischen linie betafaktor β-faktor ausgedrückt
sicherheitsleistung,gesetz spricht sicherheitsleistung bestimmten sachverhalt amts kraft vertraglicher vereinbarung sicherheit stellen sicherheitsleistung dient primär gläubigerschutz
wertpapierlinie,wertpapierlinie wertpapierkenngerade wpl englisch security market line sml zentrales ergebnis capital asset pricing models weiterentwicklung portfoliotheorie beschreibt zusammenhang erwarteten rendite
sesame credit,sesame credit kredit-scoring-system ant financial services group tochtergesellschaft chinesischen alibaba group nutzt anderem daten alibaba-dienstleistungen hinsichtlich kunden punktzahl errechnen staatliche
herstatt-risiko,genanntes herstatt-risiko umgangssprachlich interbankenhandel devisen- wertpapier- derivatehandel finanzrisiko vertragspartei genannt vertragspartner beiderseitigen erfüllungstag verpflichtungen nachkommt verpflichtung erfüllt erfüllungsrisiko herstatt-bank benannt
sharpe-quotient,sharpe-quotient sharpe-maß sharpe-verhältnis genannt englisch sharpe ratio betriebswirtschaftliche kennzahl finanzinstrument überrendite risikofreien zinssatz verhältnis volatilität maß risiko setzt namensgeber william
single-index-modell,single-index-modell sim theorie optimalen portfolioauswahl ziel single-index-modells vereinfachung einflussfaktor
social reporting standard,social reporting standard srs bezeichnet einheitliche richtlinien berichterstattung initiativen projekten nonprofit-bereichs begriff srs profitorientierte unternehmen geltenden rechnungslegungsstandards financial reporting standard
sozialrendite,sozialrendite englisch social return on investment abgekürzt sroi entwickelter ansatz bewertung gesellschaftlichen mehrwerts soziale projekte beschäftigt worten versucht sozialrendite maß
social trading,social trading dt gemeinschaftlicher börsen-)handel bezeichnet form unregulierten anlageberatung vermögensverwaltung privatanleger
agrarrohstoff,agrarrohstoffe rohstoffe landwirtschaftlicher produktion stammen weiterführende anwendungszwecke nahrungs- futterbereich nachwachsende rohstoffe verwendet rohstoffgruppe gehören forstwirtschaftlich produzierte rohstoffe holz gemüse- obstpflanzen
solvenz,solvenz italienisch solvente lösend lateinisch solvere bezahlen abbezahlen zahlungsfähigkeit fähigkeit wirtschaftssubjekts natürliche juristischen person verbindlichkeiten fälligkeit sofort absehbarer erfüllen solvent
sortino-verhältnis,sortino-verhältnis englisch sortino ratio maß risikobereinigten gewinn geldanlage modifikation sharpe-verhältnisses
staatsfonds,staatsfonds fonds bezeichnet kapital auftrag staates anlegen verwalten begriff überwiegend andrew rozanov geprägten amerikanischen bezeichnung sovereign wealth fund swf gleichgesetzt
unsystematisches risiko,unsystematischen risiko spezifisches diversifizierbares risiko versteht kontext portfoliotheorie bzw capital asset pricing models capm risikos risikodiversifizierung wertpapierportfolios reduziert
investmentgesellschaft,investmentgesellschaft gesellschaft liquide anlegern sammelt vorgegebenen grundsätzen diverse anlageklassen wertpapiere immobilien rohstoffe investieren
spotmarkt,spotmarkt kassamarkt lokomarkt effektivmarkt ökonomische ort angebot nachfrage spot- kassageschäften aufeinandertreffen gegenstück terminmarkt
staple financing,begriff staple financing stapled finance staple financing package investmentbanking finanzierungspaket bzw finanzierungszusage genannt rahmen firmenverkäufen banken auftrag verkäufers arrangiert möglichen
börsenmakler,börsenmakler kursmakler englisch broker juni handelsmakler deutschen börsen gewerbsmäßig börsengeschäfte börsenhändlern vermittelten funktion juli skontroführer übernommen
stripe,stripe online-bezahldienst sitz kalifornischen san francisco dienstleistungen unternehmens ländern angeboten
nachrangiges darlehen,nachrangige darlehen nachrangdarlehen englisch junior debt subordinated loans gehören unternehmen mezzanine-kapital finanzinstrumente falle liquidation insolvenz rang forderungen schuldende unternehmen zurücktreten
subprime-markt,subprime-markt bezeichnet einerseits privaten gewerbliche zwecke dienenden hypothekendarlehenmarkts kreditnehmer meist geringer bonität us-amerikanischen banken hypotheken immobilienerwerb aufnahmen bzw überredet
abonnement,abonnement abkürzung abo regelmäßige bezug leistung oftmals entgelt bezieher leistung abonnent
sumitomo-affäre,sumitomo-affäre gilt größten finanzskandale neueren geschichte skandal einzelner händler japanischen handelsunternehmens sumitomo corporation vollkommen unautorisierte geschäfte kaschierte endete letztlich verlust
super-bowl-indikator,super-bowl-indikator phänomen besagt aktienmarktperformance bestimmten jahres ergebnis us-amerikanischen football super bowls abhängt bzw anhand ergebnis vorausgesagt
susu kreditsystem,susu art privater spar- kreditverein untergrund betrieben new york city einwanderern trinidad verbreitet
konsortialkredit,konsortialkredit metakredit syndizierter kredit engl syndicated loan genannt kreditwesen gewährung einheitlichen kredites mindestens kreditinstitute kreditnehmer
systematisches risiko,systematische risiko begriff portfoliotheorie bzw modernen finanzwissenschaft
systemrisiko,systemrisiko systemische risiko risiko funktion fortbestehen systems beeinträchtigen systemrisiko unterscheiden spezifischen risiken bestimmte systemteilnehmer betroffen system gefährden
tax shield,tax-shield englisch deutsch steuerschild bezeichnet finanzwirtschaft wert fremdkapitalzinsen schulden verlustvorträge unternehmenswert beitragen unternehmen meisten steuersystemen schulden verluste steuermindernd einsetzen erhöhen
temporalie,temporalie lat tempus plural temporalia temporalien katholischen kirche bezeichnung weltliche güter gegensatz spiritualien vergänglich
laufzeit wirtschaft,laufzeit versteht wirtschaft zeitraum verträge rechtswirksam geschlossen finanzinstrumente finanzprodukte angeboten laufzeit vorgesehene befristung kündigung beendet
theoretical ex-rights price,theoretical ex-rights price terp deutsch theoretischer nach-rechte preis angenommene aktienkurs emission junger aktien kapitalerhöhung
verdecktes eigenkapital,verdecktes eigenkapital steuerrecht anteil fremdkapital bezeichnet wirtschaftlich bedeutung eigenkapital zukommt beispielsweise kapital handeln unternehmen nahestehenden personen summe verfügung gestellt meist
street performer protocol,street performer protocol spp englisch straßenkünstlerprotokoll methode schaffung schöpferischer werke fördern gemeinfrei öffentlich zugänglich entwickelt kryptologen john kelsey bruce schneier
zinsdeckungsgrad,zinsdeckungsgrad englisch debt burden level englisch interest service cover ratio iscr zinslastquote betriebswirtschaftliche volkswirtschaftliche kennzahlen genannt art schuldners verhältnis zinsaufwendungen
tobinsches,tobinsches tobinscher quotient betriebswirtschaftliche kennzahl unternehmensbewertung quotient benannt james tobin träger alfred-nobel-gedächtnispreis wirtschaftswissenschaften kennzahl propagierte
tontine,tontine tontinenversicherung bzw tontinengeschäft tontine deutschen versicherungsaufsichtsgesetz vag genannt frühe form rentenversicherung
total expense ratio,total expense ratio abkürzung ter gesamtkostenquote kennzahl aufschluss kosten investmentfonds jährlich zusätzlich ausgabeaufschlag anfallen total expense ratio greift ebene fonds
aktienrendite,aktienrendite englisch total shareholder return tsr rendite bewertung anlageerfolges performance aktien dividendenrendite verhältnis dividende gegenwärtigen kurs beschreibt aktienrendite maßzahl wert
ludothek,ludothek bzw lusothek lateinisch ludus eigentlich spiel schule lusus partizip perfekt ludere spielen θήκη stelle behältnis aufbewahrungsort institution bzw
trade-off-theorie der kapitalstruktur,trade-off-theorie kapitalstruktur besagt unternehmen ihren verschuldungsgrad wählen vorteile maximiert kosten minimiert klassische version hypothese kraus litzenberg gleichgewicht risiko wohlfahrtsverlusts drohenden
lieferantenkredit,lieferantenkredit warenkredit handelskredit kredit lieferant kreditor kunden debitoren gewährung zahlungsziels begleichung rechnung einräumt kredit stellt form finanzierung warenumschlags dar
transferproblem,begriff transferproblem transfer lateinisch übertragung überführung zahlungs- devisen- ausfallrisiken verstanden übertragung gütern dienstleistungen kapital devisen form export inlands ausland zahlungen
schatzmeister,schatzmeister kassenführer kassier kassenwart genannt funktion vorstand gesellschaften vereinen parteien verwaltung kasse finanzen zuständig vorstand angehören bürgerliche gesetzbuch bgb lediglich
treynor-quotient,treynor-quotient treynor-maß treynor-verhältnis genannt englisch treynor ratio betriebswirtschaftliche kennzahl verhältnis überschussrendite betafaktor somit risikoprämie einheit eingegangenen systematischen risikos bemisst kennzahl
trianguläre arbitrage,trianguläre arbitrage variante räumlichen arbitrage bezeichnet verfahren ausnutzung arbitragemöglichkeit preisunterschieden unterschiedlichen währungen devisenmarkt ergibt triangulären arbitrage-strategie ausgangswährung getauscht daraufhin getauscht
umsatzsteuer,umsatzsteuer ust  steuer entgelt lieferungen sonstige leistungen unternehmern besteuert gemeinschaftsteuer indirekte steuer verkehrsteuer verbrauchsteuer harmonisierte steuer steuerharmonisierung haupteinnahmequelle staates
unterkapitalisierung,unterkapitalisierung englisch thin capitalization liegt gesellschaftsrecht kapitalgesellschaft verhältnis betriebsgröße geschäftstätigkeit unzureichendes eigenkapital aufweist
ogaw-richtlinie,ogaw-richtlinie richtlinie 85/611/ewg rates dezember koordinierung rechts- verwaltungsvorschriften betreffend bestimmte organismen gemeinsame anlagen wertpapieren ogaw definiert speziellen anforderungen fonds verwaltungsgesellschaften
finanzministerium der vereinigten staaten,finanzministerium vereinigten staaten amerika amtl united states department of the treasury bundesregierung staates zuständig erhebung verwaltung ausgabe öffentlichen einnahmen
valorennummer,valorennummer valor schweiz eindeutige kennnummer kotierte börsennotierte wertpapiere finanzinstrumente erfüllt ähnlichen zweck wertpapierkennnummer wkn deutschen markt
value in use,value use deutsch nutzungswert internationalen rechnungslegung ifrs barwert vermögenswerts geschätzten zukünftigen cashflows vermögenswerts zuzüglich restwerts nutzungsdauer vermindert veräußerungskosten ergibt sowohl
value investing,value investing wertorientiertes anlegen anlagestrategie bzw investment-stil kauf- verkaufsentscheidungen wertpapiere vorwiegend bezugnahme realwirtschaftlichen gegenwert anlagen genannten inneren wert engl
videothek,videothek analog bibliothek geschäftsbetrieb filme bzw datenträger gesammelt archiviert kunden zugänglich
geierfonds,geierfonds englisch vulture fund abwertende bezeichnung investoren hedgefonds spezialisiert wertpapiere problembeladener emittenten beispielsweise zahlungsunfähiger unternehmen staaten abschlägen nominalwert erwerben schlagwort
world gold council,world gold council globale lobby-organisation goldbergbauindustrie ziel organisation goldnachfrage stimulieren erhalten
zero-base-budgeting,zero-base-budgeting bzw nullbasisbudgetierung analyse- planungsmethode kostenmanagement eingesetzt
zombiefirma,zombiefirma zombieunternehmen verschuldetes unternehmen aufgrund unprofitablen geschäftsbetriebs lage zinsen aufgenommenen krediten zahlen anm kurzfristige fortbestehen zombiefirma sichern häufig kredite aufgenommen
